ID,Distance,eDistance,RA,Dec,Vlsr,SigmaTot,M,major,minor,R,PA,AspectRatio,Tkin,SigmaNH3
PER3,260.0,26.0,52.1783374358,31.0943900515,4.1,0.246303322084,14.5940684944,0.312,0.0742857142857,0.15224041138,48,0.24,11.0,0.17
PER6,260.0,26.0,52.5619963008,30.3801388131,5.8,0.225070277076,8.33946771106,0.178285714286,0.0742857142857,0.115082933716,29,0.42,11.0,0.13
B5,315.0,32.0,56.9099201406,32.8952400711,10.2,0.233563495079,103.812103004,0.648,0.261,0.411251747717,8,0.39,10.8,0.14
L1489,135.0,20.0,61.1980117903,26.3282277314,6.6,0.208083841071,1.91526520211,0.0867857142857,0.0578571428571,0.0708602389877,-39,0.67,9.5,0.12
L1498,135.0,20.0,62.7144363706,25.1661846973,7.8,0.195344014066,0.729624838899,0.0675,0.0482142857143,0.0570479121942,-46,0.72,10.0,0.09
L1495,135.0,20.0,63.5344367359,28.1585104738,6.4,0.199590623068,,0.279642857143,0.0771428571429,0.146875624185,-50,0.29,,0.1
L1495NW,135.0,20.0,63.4587939852,28.2088386065,6.1,0.199590623068,3.6481241945,0.221785714286,0.125357142857,0.166740587349,-50,0.55,10.0,0.12
L1495SE,135.0,20.0,63.5344367359,28.1585104738,6.7,0.199590623068,,0.0964285714286,0.0771428571429,0.086248336275,-40,0.83,,
TAU11,135.0,20.0,64.4148830434,28.0552360584,6.7,,,0.125357142857,0.0867857142857,0.104303447612,32,0.67,,
TAU16,135.0,20.0,64.5238677346,28.3714303428,6.6,,,0.135,0.0771428571429,0.102050407712,29,0.59,,
L1400G,170.0,50.0,66.3026691742,54.9863003492,3.4,0.216577059073,6.50987124464,0.16,0.08,0.11313708499,-60,0.48,10.2,0.13
B217,135.0,20.0,66.9435881009,26.2976729692,6.9,0.259043149088,2.37128072642,0.0867857142857,0.0482142857143,0.0646862522062,46,0.52,15.0,0.14
L1524,135.0,20.0,67.3659391163,24.5993800805,6.5,0.254796540086,1.09443725835,0.0964285714286,0.0675,0.0806779311301,17,0.71,8.8,0.2
L1400K,170.0,50.0,67.7170547983,54.8652820176,3.2,0.212330450072,14.2403433476,0.31,0.14,0.20832666656,44,0.45,10.8,0.11
TMC2A,135.0,20.0,67.9828561045,24.5468934588,5.9,0.220823668075,3.73932729936,0.0867857142857,0.0675,0.0765378057844,-28,0.86,10.0,0.14
L1534,135.0,20.0,69.895799372,25.6963156149,6.3,0.212330450072,11.8564036321,0.173571428571,0.106071428571,0.135687027338,-66,0.63,8.0,0.14
L1527,135.0,20.0,69.9732755089,26.0515228639,5.9,0.220823668075,2.1888745167,0.0867857142857,0.0675,0.0765378057844,8,0.81,11.1,0.12
TMC1C,135.0,20.0,70.4117479537,26.0117460625,5.2,0.191097405065,18.2406209725,0.241071428571,0.0867857142857,0.144642857143,-49,0.37,8.9,0.1
L1517B,135.0,20.0,73.8283491842,30.6343858005,5.7,0.208083841071,0.638421734037,0.0675,0.0482142857143,0.0570479121942,52,0.81,11.1,0.1
L1582A,420.0,42.0,83.0013239652,12.5078377504,10.2,0.284522803096,137.329482774,0.511724137931,0.241379310345,0.351453580862,-17,0.48,14.7,0.19
B35A,420.0,42.0,86.1239880265,9.14826181581,11.8,0.416167682141,43.9454344875,0.724137931034,0.28,0.450287264632,21,0.39,16.6,0.35
L134A,110.0,10.0,238.401487985,-4.59056705272,2.7,0.216577059073,112.369532189,0.11,0.077,0.0920326029187,-11,0.71,9.0,0.14
L1696A,137.3,6.0,247.131059844,-24.3187891478,3.3,0.242056713082,3.92079308668,0.14588125,0.034325,0.0707628002997,25,0.22,15.0,0.11
L43RNO90,125.0,45.0,248.656534772,-15.7835026566,0.8,0.212330450072,,0.1484375,0.078125,0.107687880876,73,0.51,,
L43,125.0,45.0,248.656534772,-15.7835026566,0.7,0.212330450072,25.7062298034,0.1484375,0.078125,0.107687880876,-87,0.51,8.5,0.14
L260,125.0,45.0,251.778046484,-9.5891920498,3.5,0.186850796063,10.1854872806,0.0859375,0.0390625,0.0579390506804,63,0.48,8.8,0.09
L158,125.0,45.0,251.846726276,-13.9892058861,3.9,0.225070277076,16.0057657266,0.296875,0.140625,0.204323387978,-67,0.48,11.6,0.12
L234E,125.0,45.0,252.035844934,-10.9494087376,3.0,0.254796540086,0.291013922303,0.0703125,0.0546875,0.0620097963531,-30,0.84,14.5,0.13
L234A,125.0,45.0,252.028764441,-10.8633292643,2.9,0.203837232069,2.32811137842,0.1015625,0.078125,0.0890762050859,-6,0.75,10.3,0.1
L63,125.0,45.0,252.564688969,-18.1017755405,5.7,0.208083841071,3.8801856307,0.1015625,0.0859375,0.0934239120555,14,0.79,9.7,0.11
L483,200.0,,274.373868119,-4.66064550209,5.5,0.280276194095,,0.17,0.16,0.164924225025,89,0.97,,
L778,200.0,,291.635733147,23.9784067515,9.9,0.250549931085,39.669527897,0.19,0.13,0.157162336455,-67,0.69,11.2,0.17
L1152,325.0,13.0,308.959499282,67.9062002364,2.4,0.242056713082,4.91887430048,0.265909090909,0.147727272727,0.198196934369,39,0.57,10.4,0.14
L1082C,400.0,50.0,312.864632483,60.3166258568,-2.6,0.225070277076,18.3411098177,0.263636363636,0.2,0.229624198915,7,0.74,9.2,0.15
L1082A,400.0,50.0,313.37361158,60.2445387567,-2.2,0.242056713082,122.274065451,0.818181818182,0.345454545455,0.531643327899,47,0.43,10.0,0.17
L1082B,400.0,50.0,313.45985442,60.1628964301,-2.3,0.208083841071,14.5200452724,0.263636363636,0.218181818182,0.239834653787,48,0.83,10.0,0.11
L1174,288.0,25.0,315.093840759,68.2146600531,2.8,0.360961765122,48.4909597805,0.229090909091,0.130909090909,0.173176449452,71,0.59,10.0,0.31
L1172A,288.0,25.0,315.600296982,67.9022044729,2.7,0.276029585094,2.33897570706,0.130909090909,0.117818181818,0.124191268108,-7,0.88,14.2,0.18
B361,350.0,,318.084181702,47.4066989231,2.7,0.343975329117,49.8412017167,0.35,0.3,0.32403703492,31,0.85,10.0,0.3
L1031B,900.0,,326.857409252,47.5360485679,3.9,0.445893945151,773.0472103,1.05,0.73,0.875499857224,-39,0.7,12.5,0.4
L1251A,286.0,20.0,337.632488303,75.2379973589,-4.0,0.229316886078,95.1810553133,0.5863,0.1716,0.317189344083,-81,0.28,10.5,0.16
L1251E,286.0,20.0,339.82760378,75.1832416234,0.3,0.38219481013,,0.5148,0.2574,0.364018570955,-87,0.5,,
L1262A,286.0,20.0,351.37356853,74.3041590262,3.9,0.237810104081,9.81554632918,0.2145,0.1144,0.156648651446,-68,0.5,10.3,0.16
